nohup: ignoring input
Using GPUs: [0, 1, 2, 3, 4]
Loaded checkpoint: /home/ofirg/cld_checkpoints/expr1/exp1_digits_20260127_135649.pt
Extending from 4000000 to 6000000 epochs (extra 2000000).
training starts for cuda:0...
training starts for cuda:1...
training starts for cuda:4...
training starts for cuda:2...
training starts for cuda:3...
device cuda:1 | epoch   600001 | loss 0.1346 (lin: 0.0722) | train acc 0.900 (lin: 1.0000) | test acc 0.087 (lin: 0.0422)
device cuda:3 | epoch   720001 | loss 0.0959 (lin: 0.0795) | train acc 0.900 (lin: 1.0000) | test acc 0.107 (lin: 0.0743)
device cuda:0 | epoch   720001 | loss 0.0870 (lin: 0.1047) | train acc 1.000 (lin: 0.9000) | test acc 0.106 (lin: 0.1159)
device cuda:4 | epoch   720001 | loss 0.1002 (lin: 0.1030) | train acc 1.000 (lin: 1.0000) | test acc 0.077 (lin: 0.0461)
device cuda:2 | epoch   720001 | loss 0.0871 (lin: 0.1031) | train acc 0.900 (lin: 0.9000) | test acc 0.132 (lin: 0.0833)
device cuda:1 | epoch   720001 | loss 0.1157 (lin: 0.0857) | train acc 0.900 (lin: 0.8000) | test acc 0.091 (lin: 0.0450)
device cuda:3 | epoch   840001 | loss 0.1184 (lin: 0.0968) | train acc 1.000 (lin: 1.0000) | test acc 0.094 (lin: 0.0771)
device cuda:0 | epoch   840001 | loss 0.1106 (lin: 0.1175) | train acc 0.900 (lin: 0.9000) | test acc 0.106 (lin: 0.1047)
device cuda:4 | epoch   840001 | loss 0.1102 (lin: 0.1104) | train acc 1.000 (lin: 1.0000) | test acc 0.081 (lin: 0.0433)
device cuda:2 | epoch   840001 | loss 0.0975 (lin: 0.0897) | train acc 1.000 (lin: 1.0000) | test acc 0.138 (lin: 0.0855)
device cuda:1 | epoch   840001 | loss 0.0844 (lin: 0.1019) | train acc 0.900 (lin: 1.0000) | test acc 0.103 (lin: 0.0478)
device cuda:3 | epoch   960001 | loss 0.0982 (lin: 0.0969) | train acc 0.900 (lin: 0.9000) | test acc 0.102 (lin: 0.0799)
device cuda:0 | epoch   960001 | loss 0.1050 (lin: 0.1073) | train acc 0.900 (lin: 1.0000) | test acc 0.099 (lin: 0.1007)
device cuda:4 | epoch   960001 | loss 0.0990 (lin: 0.1001) | train acc 0.900 (lin: 0.7000) | test acc 0.088 (lin: 0.0439)
device cuda:2 | epoch   960001 | loss 0.1268 (lin: 0.1151) | train acc 0.900 (lin: 0.8000) | test acc 0.131 (lin: 0.0912)
device cuda:1 | epoch   960001 | loss 0.0965 (lin: 0.0890) | train acc 0.900 (lin: 1.0000) | test acc 0.098 (lin: 0.0450)
device cuda:3 | epoch  1080001 | loss 0.1045 (lin: 0.1003) | train acc 0.900 (lin: 1.0000) | test acc 0.097 (lin: 0.0777)
device cuda:0 | epoch  1080001 | loss 0.0981 (lin: 0.0935) | train acc 0.900 (lin: 1.0000) | test acc 0.110 (lin: 0.0929)
device cuda:4 | epoch  1080001 | loss 0.0800 (lin: 0.0912) | train acc 1.000 (lin: 0.9000) | test acc 0.108 (lin: 0.0450)
device cuda:2 | epoch  1080001 | loss 0.0959 (lin: 0.0816) | train acc 0.900 (lin: 1.0000) | test acc 0.121 (lin: 0.0929)
device cuda:1 | epoch  1080001 | loss 0.0970 (lin: 0.0814) | train acc 1.000 (lin: 1.0000) | test acc 0.104 (lin: 0.0478)
device cuda:3 | epoch  1200001 | loss 0.0919 (lin: 0.1187) | train acc 1.000 (lin: 0.9000) | test acc 0.082 (lin: 0.0799)
device cuda:0 | epoch  1200001 | loss 0.1036 (lin: 0.0839) | train acc 0.900 (lin: 1.0000) | test acc 0.110 (lin: 0.0951)
device cuda:4 | epoch  1200001 | loss 0.0882 (lin: 0.1007) | train acc 0.900 (lin: 1.0000) | test acc 0.107 (lin: 0.0439)
device cuda:2 | epoch  1200001 | loss 0.1007 (lin: 0.0888) | train acc 1.000 (lin: 0.9000) | test acc 0.106 (lin: 0.0940)
device cuda:1 | epoch  1200001 | loss 0.1121 (lin: 0.0978) | train acc 1.000 (lin: 0.9000) | test acc 0.097 (lin: 0.0445)
device cuda:3 | epoch  1320001 | loss 0.1370 (lin: 0.1014) | train acc 0.800 (lin: 0.9000) | test acc 0.079 (lin: 0.0782)
device cuda:0 | epoch  1320001 | loss 0.0964 (lin: 0.1123) | train acc 0.900 (lin: 0.8000) | test acc 0.114 (lin: 0.0940)
device cuda:4 | epoch  1320001 | loss 0.1158 (lin: 0.1114) | train acc 0.900 (lin: 1.0000) | test acc 0.097 (lin: 0.0484)
device cuda:2 | epoch  1320001 | loss 0.1306 (lin: 0.0846) | train acc 0.700 (lin: 0.9000) | test acc 0.101 (lin: 0.1002)
device cuda:1 | epoch  1320001 | loss 0.0937 (lin: 0.0736) | train acc 0.900 (lin: 0.9000) | test acc 0.103 (lin: 0.0523)
device cuda:3 | epoch  1440001 | loss 0.1181 (lin: 0.0983) | train acc 0.900 (lin: 0.9000) | test acc 0.103 (lin: 0.0782)
device cuda:0 | epoch  1440001 | loss 0.0993 (lin: 0.0939) | train acc 1.000 (lin: 1.0000) | test acc 0.115 (lin: 0.0934)
device cuda:4 | epoch  1440001 | loss 0.0997 (lin: 0.1123) | train acc 0.900 (lin: 0.9000) | test acc 0.088 (lin: 0.0467)
device cuda:2 | epoch  1440001 | loss 0.1251 (lin: 0.0943) | train acc 1.000 (lin: 1.0000) | test acc 0.120 (lin: 0.0974)
device cuda:1 | epoch  1440001 | loss 0.0988 (lin: 0.0910) | train acc 0.900 (lin: 1.0000) | test acc 0.089 (lin: 0.0467)
device cuda:3 | epoch  1560001 | loss 0.1355 (lin: 0.0973) | train acc 0.900 (lin: 1.0000) | test acc 0.100 (lin: 0.0737)
device cuda:0 | epoch  1560001 | loss 0.1286 (lin: 0.1384) | train acc 0.900 (lin: 0.9000) | test acc 0.109 (lin: 0.0917)
device cuda:4 | epoch  1560001 | loss 0.1040 (lin: 0.1231) | train acc 1.000 (lin: 0.9000) | test acc 0.081 (lin: 0.0495)
device cuda:2 | epoch  1560001 | loss 0.1156 (lin: 0.1237) | train acc 1.000 (lin: 0.9000) | test acc 0.110 (lin: 0.0940)
device cuda:1 | epoch  1560001 | loss 0.1099 (lin: 0.1334) | train acc 0.900 (lin: 0.7000) | test acc 0.079 (lin: 0.0461)
device cuda:3 | epoch  1680001 | loss 0.1135 (lin: 0.1060) | train acc 1.000 (lin: 0.9000) | test acc 0.083 (lin: 0.0703)
device cuda:0 | epoch  1680001 | loss 0.1239 (lin: 0.0900) | train acc 0.900 (lin: 1.0000) | test acc 0.109 (lin: 0.0968)
device cuda:4 | epoch  1680001 | loss 0.1033 (lin: 0.1310) | train acc 0.900 (lin: 0.8000) | test acc 0.093 (lin: 0.0428)
device cuda:2 | epoch  1680001 | loss 0.1076 (lin: 0.0971) | train acc 1.000 (lin: 0.9000) | test acc 0.095 (lin: 0.0934)
device cuda:1 | epoch  1680001 | loss 0.1377 (lin: 0.0974) | train acc 0.900 (lin: 0.8000) | test acc 0.088 (lin: 0.0473)
device cuda:3 | epoch  1800001 | loss 0.0942 (lin: 0.1167) | train acc 0.900 (lin: 0.7000) | test acc 0.078 (lin: 0.0698)
device cuda:0 | epoch  1800001 | loss 0.0987 (lin: 0.0939) | train acc 1.000 (lin: 0.8000) | test acc 0.104 (lin: 0.1035)
device cuda:4 | epoch  1800001 | loss 0.1081 (lin: 0.0949) | train acc 0.900 (lin: 0.9000) | test acc 0.095 (lin: 0.0450)
device cuda:2 | epoch  1800001 | loss 0.1156 (lin: 0.0886) | train acc 0.700 (lin: 1.0000) | test acc 0.085 (lin: 0.0974)
device cuda:1 | epoch  1800001 | loss 0.1071 (lin: 0.1052) | train acc 0.900 (lin: 0.7000) | test acc 0.071 (lin: 0.0450)
device cuda:3 | epoch  1920001 | loss 0.1004 (lin: 0.1354) | train acc 0.900 (lin: 0.9000) | test acc 0.077 (lin: 0.0681)
device cuda:0 | epoch  1920001 | loss 0.1348 (lin: 0.0973) | train acc 0.800 (lin: 0.9000) | test acc 0.101 (lin: 0.1069)
device cuda:4 | epoch  1920001 | loss 0.1000 (lin: 0.0732) | train acc 0.900 (lin: 1.0000) | test acc 0.102 (lin: 0.0490)
device cuda:2 | epoch  1920001 | loss 0.0815 (lin: 0.1116) | train acc 0.800 (lin: 0.8000) | test acc 0.082 (lin: 0.0912)
device cuda:1 | epoch  1920001 | loss 0.1035 (lin: 0.0954) | train acc 0.800 (lin: 0.8000) | test acc 0.089 (lin: 0.0433)
training starts for cuda:0...
training starts for cuda:2...
training starts for cuda:4...
training starts for cuda:3...
training starts for cuda:1...
device cuda:0 | epoch        1 | loss 0.0500 (lin: 0.0552) | train acc 1.000 (lin: 1.0000) | test acc 0.097 (lin: 0.0962)
device cuda:1 | epoch        1 | loss 0.0500 (lin: 0.0372) | train acc 1.000 (lin: 1.0000) | test acc 0.093 (lin: 0.0467)
device cuda:2 | epoch        1 | loss 0.0593 (lin: 0.0533) | train acc 1.000 (lin: 1.0000) | test acc 0.119 (lin: 0.0884)
device cuda:3 | epoch        1 | loss 0.0560 (lin: 0.0459) | train acc 1.000 (lin: 0.9000) | test acc 0.075 (lin: 0.0698)
device cuda:4 | epoch        1 | loss 0.0365 (lin: 0.0530) | train acc 1.000 (lin: 1.0000) | test acc 0.090 (lin: 0.0416)
device cuda:0 | epoch   120001 | loss 0.0506 (lin: 0.0533) | train acc 1.000 (lin: 1.0000) | test acc 0.103 (lin: 0.1047)
